('Time: ', '2017-04-29 02:51:42.116118', ' Pressure:', 1011.0140000000001)
('Time: ', '2017-04-29 02:52:42.729247', ' Temperature: ', 83.17000000000003)
('Time: ', '2017-04-29 02:52:42.729247', ' Humidity :', 44.141999999999996)
('Time: ', '2017-04-29 02:52:42.729247', ' Pressure:', 1010.9540000000001)
('Time: ', '2017-04-29 02:53:43.341573', ' Temperature: ', 83.308000000000021)
('Time: ', '2017-04-29 02:53:43.341573', ' Humidity :', 43.140000000000001)
('Time: ', '2017-04-29 02:53:43.341573', ' Pressure:', 1010.9230000000001)
('Time: ', '2017-04-29 02:54:43.983795', ' Temperature: ', 83.370999999999995)
('Time: ', '2017-04-29 02:54:43.983795', ' Humidity :', 43.135999999999996)
('Time: ', '2017-04-29 02:54:43.983795', ' Pressure:', 1010.9300000000001)
('Time: ', '2017-04-29 02:55:44.624067', ' Temperature: ', 83.433999999999997)
('Time: ', '2017-04-29 02:55:44.624067', ' Humidity :', 42.979999999999997)
('Time: ', '2017-04-29 02:55:44.624067', ' Pressure:', 1010.933)
('Time: ', '2017-04-29 02:56:45.264445', ' Temperature: ', 83.677999999999997)
('Time: ', '2017-04-29 02:56:45.264445', ' Humidity :', 42.858999999999995)
('Time: ', '2017-04-29 02:56:45.264445', ' Pressure:', 1010.9300000000001)
('Time: ', '2017-04-29 02:57:45.904805', ' Temperature: ', 83.630000000000024)
('Time: ', '2017-04-29 02:57:45.904805', ' Humidity :', 42.696000000000005)
('Time: ', '2017-04-29 02:57:45.904805', ' Pressure:', 1010.9590000000001)
('Time: ', '2017-04-29 02:58:46.545199', ' Temperature: ', 83.23299999999999)
('Time: ', '2017-04-29 02:58:46.545199', ' Humidity :', 42.851999999999997)
('Time: ', '2017-04-29 02:58:46.545199', ' Pressure:', 1010.9849999999999)
('Time: ', '2017-04-29 02:59:47.126959', ' Temperature: ', 82.986000000000018)
('Time: ', '2017-04-29 02:59:47.126959', ' Humidity :', 42.558)
('Time: ', '2017-04-29 02:59:47.126959', ' Pressure:', 1011.04)
('Time: ', '2017-04-29 03:00:47.739400', ' Temperature: ', 83.088999999999999)
('Time: ', '2017-04-29 03:00:47.739400', ' Humidity :', 42.125000000000007)
('Time: ', '2017-04-29 03:00:47.739400', ' Pressure:', 1010.9959999999999)
('Time: ', '2017-04-29 03:01:48.352034', ' Temperature: ', 82.842000000000013)
('Time: ', '2017-04-29 03:01:48.352034', ' Humidity :', 42.012)
('Time: ', '2017-04-29 03:01:48.352034', ' Pressure:', 1011.0190000000002)
('Time: ', '2017-04-29 03:02:48.992250', ' Temperature: ', 82.551999999999992)
('Time: ', '2017-04-29 03:02:48.992250', ' Humidity :', 42.140999999999998)
('Time: ', '2017-04-29 03:02:48.992250', ' Pressure:', 1011.0120000000001)
('Time: ', '2017-04-29 03:03:49.634260', ' Temperature: ', 82.48399999999998)
('Time: ', '2017-04-29 03:03:49.634260', ' Humidity :', 42.603999999999999)
('Time: ', '2017-04-29 03:03:49.634260', ' Pressure:', 1011.0940000000003)
('Time: ', '2017-04-29 03:04:50.267642', ' Temperature: ', 82.60499999999999)
('Time: ', '2017-04-29 03:04:50.267642', ' Humidity :', 42.297000000000004)
('Time: ', '2017-04-29 03:04:50.267642', ' Pressure:', 1011.083)
('Time: ', '2017-04-29 03:05:50.880790', ' Temperature: ', 82.353999999999985)
('Time: ', '2017-04-29 03:05:50.880790', ' Humidity :', 41.533000000000001)
('Time: ', '2017-04-29 03:05:50.880790', ' Pressure:', 1011.1030000000001)
('Time: ', '2017-04-29 03:06:51.521117', ' Temperature: ', 82.194999999999993)
('Time: ', '2017-04-29 03:06:51.521117', ' Humidity :', 41.858999999999995)
('Time: ', '2017-04-29 03:06:51.521117', ' Pressure:', 1011.076)
('Time: ', '2017-04-29 03:07:52.116108', ' Temperature: ', 82.169999999999987)
('Time: ', '2017-04-29 03:07:52.116108', ' Humidity :', 41.408000000000001)
('Time: ', '2017-04-29 03:07:52.116108', ' Pressure:', 1010.9829999999998)
('Time: ', '2017-04-29 03:08:52.728379', ' Temperature: ', 82.495999999999995)
('Time: ', '2017-04-29 03:08:52.728379', ' Humidity :', 41.549999999999997)
('Time: ', '2017-04-29 03:08:52.728379', ' Pressure:', 1010.9710000000001)
('Time: ', '2017-04-29 03:09:53.340643', ' Temperature: ', 82.276999999999987)
('Time: ', '2017-04-29 03:09:53.340643', ' Humidity :', 41.381999999999998)
('Time: ', '2017-04-29 03:09:53.340643', ' Pressure:', 1010.9009999999998)
('Time: ', '2017-04-29 03:10:53.947460', ' Temperature: ', 82.372000000000014)
('Time: ', '2017-04-29 03:10:53.947460', ' Humidity :', 41.137999999999998)
('Time: ', '2017-04-29 03:10:53.947460', ' Pressure:', 1010.8510000000002)
